# Adobe-Japan1 IVSes
3402 E0100; Adobe-Japan1; CID+2441
3840 E0100; Adobe-Japan1; CID+3630
385C E0100; Adobe-Japan1; CID+3659
3861 E0100; Adobe-Japan1; CID+3665
38A1 E0100; Adobe-Japan1; CID+3730
38AD E0100; Adobe-Japan1; CID+3743
38FA E0100; Adobe-Japan1; CID+3821
3917 E0100; Adobe-Japan1; CID+3851
391A E0100; Adobe-Japan1; CID+3855
396F E0100; Adobe-Japan1; CID+3942
39A4 E0100; Adobe-Japan1; CID+4000
39B8 E0100; Adobe-Japan1; CID+4021
3A5C E0100; Adobe-Japan1; CID+4192
3A6E E0100; Adobe-Japan1; CID+4214
3A73 E0100; Adobe-Japan1; CID+4220
3A85 E0100; Adobe-Japan1; CID+4239
3AC4 E0100; Adobe-Japan1; CID+4302
3ACB E0100; Adobe-Japan1; CID+4310
3AD6 E0100; Adobe-Japan1; CID+4322
3AD7 E0100; Adobe-Japan1; CID+4323
3AEA E0100; Adobe-Japan1; CID+4342
3AF3 E0100; Adobe-Japan1; CID+4352
3B0E E0100; Adobe-Japan1; CID+4382
3B1A E0100; Adobe-Japan1; CID+4396
3B1C E0100; Adobe-Japan1; CID+4399
3B22 E0100; Adobe-Japan1; CID+4406
3B6D E0100; Adobe-Japan1; CID+4480
3B77 E0100; Adobe-Japan1; CID+4491
3B87 E0100; Adobe-Japan1; CID+4508
3B88 E0100; Adobe-Japan1; CID+4510
3B8D E0100; Adobe-Japan1; CID+4515
3BA4 E0100; Adobe-Japan1; CID+4540
3BB6 E0100; Adobe-Japan1; CID+4559
3BC3 E0100; Adobe-Japan1; CID+4574
3BCD E0100; Adobe-Japan1; CID+4586
3BF0 E0100; Adobe-Japan1; CID+4622
3BF3 E0100; Adobe-Japan1; CID+4627
3C0F E0100; Adobe-Japan1; CID+4657
3C26 E0100; Adobe-Japan1; CID+4681
3CC3 E0100; Adobe-Japan1; CID+4842
3CD2 E0100; Adobe-Japan1; CID+4857
3D11 E0100; Adobe-Japan1; CID+4921
3D1E E0100; Adobe-Japan1; CID+4936
3D31 E0100; Adobe-Japan1; CID+4956
3D4E E0100; Adobe-Japan1; CID+4989
3D64 E0100; Adobe-Japan1; CID+5015
3D9A E0100; Adobe-Japan1; CID+5075
3DC0 E0100; Adobe-Japan1; CID+5117
3DCC E0100; Adobe-Japan1; CID+5132
3DD4 E0100; Adobe-Japan1; CID+5144
3E05 E0100; Adobe-Japan1; CID+5201
3E3F E0100; Adobe-Japan1; CID+5262
3E40 E0100; Adobe-Japan1; CID+5264
3E60 E0100; Adobe-Japan1; CID+5298
3E66 E0100; Adobe-Japan1; CID+5305
3E68 E0100; Adobe-Japan1; CID+5307
3E83 E0100; Adobe-Japan1; CID+5334
3E8A E0100; Adobe-Japan1; CID+5341
3E94 E0100; Adobe-Japan1; CID+5351
3EDA E0100; Adobe-Japan1; CID+5428
3F57 E0100; Adobe-Japan1; CID+5563
3F72 E0100; Adobe-Japan1; CID+5590
3F75 E0100; Adobe-Japan1; CID+5594
3F77 E0100; Adobe-Japan1; CID+5597
3FAE E0100; Adobe-Japan1; CID+5653
3FB1 E0100; Adobe-Japan1; CID+5657
3FC9 E0100; Adobe-Japan1; CID+5683
3FD7 E0100; Adobe-Japan1; CID+5699
3FDC E0100; Adobe-Japan1; CID+5706
4039 E0100; Adobe-Japan1; CID+5805
4058 E0100; Adobe-Japan1; CID+5837
4093 E0100; Adobe-Japan1; CID+5900
4103 E0100; Adobe-Japan1; CID+6016
4105 E0100; Adobe-Japan1; CID+6020
4148 E0100; Adobe-Japan1; CID+6090
414F E0100; Adobe-Japan1; CID+6098
4163 E0100; Adobe-Japan1; CID+6118
41B4 E0100; Adobe-Japan1; CID+6203
41BF E0100; Adobe-Japan1; CID+6215
41E6 E0100; Adobe-Japan1; CID+6256
41EE E0100; Adobe-Japan1; CID+6265
41F3 E0100; Adobe-Japan1; CID+6271
4207 E0100; Adobe-Japan1; CID+6292
420E E0100; Adobe-Japan1; CID+6299
4264 E0100; Adobe-Japan1; CID+6389
4293 E0100; Adobe-Japan1; CID+6440
42C6 E0100; Adobe-Japan1; CID+6493
42D6 E0100; Adobe-Japan1; CID+6510
42DD E0100; Adobe-Japan1; CID+6518
4302 E0100; Adobe-Japan1; CID+6557
432B E0100; Adobe-Japan1; CID+6600
4343 E0100; Adobe-Japan1; CID+6626
43EE E0100; Adobe-Japan1; CID+6805
43F0 E0100; Adobe-Japan1; CID+6807
4408 E0100; Adobe-Japan1; CID+6836
440C E0100; Adobe-Japan1; CID+6841
4417 E0100; Adobe-Japan1; CID+6853
441C E0100; Adobe-Japan1; CID+6859
4422 E0100; Adobe-Japan1; CID+6866
4453 E0100; Adobe-Japan1; CID+6918
445B E0100; Adobe-Japan1; CID+6927
4476 E0100; Adobe-Japan1; CID+6955
447A E0100; Adobe-Japan1; CID+6960
4491 E0100; Adobe-Japan1; CID+6986
44B3 E0100; Adobe-Japan1; CID+7024
44BE E0100; Adobe-Japan1; CID+7038
44D4 E0100; Adobe-Japan1; CID+7065
4508 E0100; Adobe-Japan1; CID+7131
450D E0100; Adobe-Japan1; CID+7138
4525 E0100; Adobe-Japan1; CID+7165
4543 E0100; Adobe-Japan1; CID+7203
457A E0100; Adobe-Japan1; CID+7271
459D E0100; Adobe-Japan1; CID+7312
45B8 E0100; Adobe-Japan1; CID+7342
45BE E0100; Adobe-Japan1; CID+7348
45E5 E0100; Adobe-Japan1; CID+7389
45EA E0100; Adobe-Japan1; CID+7394
460F E0100; Adobe-Japan1; CID+7433
4610 E0100; Adobe-Japan1; CID+7434
4641 E0100; Adobe-Japan1; CID+7483
4665 E0100; Adobe-Japan1; CID+7521
46A1 E0100; Adobe-Japan1; CID+7584
46AE E0100; Adobe-Japan1; CID+7598
46AF E0100; Adobe-Japan1; CID+7600
470C E0100; Adobe-Japan1; CID+7695
471F E0100; Adobe-Japan1; CID+7717
4764 E0100; Adobe-Japan1; CID+7789
47E6 E0100; Adobe-Japan1; CID+7921
47FD E0100; Adobe-Japan1; CID+7945
4816 E0100; Adobe-Japan1; CID+7971
481E E0100; Adobe-Japan1; CID+7980
4844 E0100; Adobe-Japan1; CID+8020
484E E0100; Adobe-Japan1; CID+8030
48B5 E0100; Adobe-Japan1; CID+8139
49B0 E0100; Adobe-Japan1; CID+8401
49E7 E0100; Adobe-Japan1; CID+8458
49FA E0100; Adobe-Japan1; CID+8477
4A04 E0100; Adobe-Japan1; CID+8488
4A29 E0100; Adobe-Japan1; CID+8529
4ABC E0100; Adobe-Japan1; CID+8682
4B38 E0100; Adobe-Japan1; CID+8813
4B3B E0100; Adobe-Japan1; CID+8817
4B7E E0100; Adobe-Japan1; CID+8888
4BC2 E0100; Adobe-Japan1; CID+8960
4BCA E0100; Adobe-Japan1; CID+8968
4BD2 E0100; Adobe-Japan1; CID+8977
4BE8 E0100; Adobe-Japan1; CID+9001
4C17 E0100; Adobe-Japan1; CID+9049
4C20 E0100; Adobe-Japan1; CID+9059
4C38 E0100; Adobe-Japan1; CID+9084
4CC4 E0100; Adobe-Japan1; CID+9231
4CD1 E0100; Adobe-Japan1; CID+9245
4CE1 E0100; Adobe-Japan1; CID+9261
4D07 E0100; Adobe-Japan1; CID+9300
4D77 E0100; Adobe-Japan1; CID+9416
4E00 E0100; Adobe-Japan1; CID+9482
4E01 E0100; Adobe-Japan1; CID+9483
4E02 E0100; Adobe-Japan1; CID+9484
4E03 E0100; Adobe-Japan1; CID+9486
4E04 E0100; Adobe-Japan1; CID+9488
4E05 E0100; Adobe-Japan1; CID+9489
4E07 E0100; Adobe-Japan1; CID+9491
4E08 E0100; Adobe-Japan1; CID+9492
4E08 E0101; Adobe-Japan1; CID+62100
4E09 E0100; Adobe-Japan1; CID+9493
4E0A E0100; Adobe-Japan1; CID+9494
4E0B E0100; Adobe-Japan1; CID+9495
4E0C E0100; Adobe-Japan1; CID+9496
4E0D E0100; Adobe-Japan1; CID+9497
4E0E E0100; Adobe-Japan1; CID+9498
4E0E E0101; Adobe-Japan1; CID+62101
4E0F E0100; Adobe-Japan1; CID+9501
4E10 E0100; Adobe-Japan1; CID+9504
4E11 E0100; Adobe-Japan1; CID+9507
4E12 E0100; Adobe-Japan1; CID+9509
4E14 E0100; Adobe-Japan1; CID+9511
4E15 E0100; Adobe-Japan1; CID+9512
4E16 E0100; Adobe-Japan1; CID+9514
4E17 E0100; Adobe-Japan1; CID+9516
4E18 E0100; Adobe-Japan1; CID+9517
4E19 E0100; Adobe-Japan1; CID+9519
4E19 E0101; Adobe-Japan1; CID+62102
4E1E E0100; Adobe-Japan1; CID+9524
4E1F E0100; Adobe-Japan1; CID+9526
4E21 E0100; Adobe-Japan1; CID+9529
4E23 E0100; Adobe-Japan1; CID+9532
4E24 E0100; Adobe-Japan1; CID+9533
4E26 E0100; Adobe-Japan1; CID+9535
4E26 E0101; Adobe-Japan1; CID+62103
4E28 E0100; Adobe-Japan1; CID+9537
4E29 E0100; Adobe-Japan1; CID+9538
4E2A E0100; Adobe-Japan1; CID+9540
4E2B E0100; Adobe-Japan1; CID+9542
4E2C E0100; Adobe-Japan1; CID+9544
4E2D E0100; Adobe-Japan1; CID+9545
4E2E E0100; Adobe-Japan1; CID+9546
4E2F E0100; Adobe-Japan1; CID+9547
4E30 E0100; Adobe-Japan1; CID+9548
4E30 E0101; Adobe-Japan1; CID+62104
4E31 E0100; Adobe-Japan1; CID+9550
4E32 E0100; Adobe-Japan1; CID+9552
4E35 E0100; Adobe-Japan1; CID+9555
4E36 E0100; Adobe-Japan1; CID+9557
4E37 E0100; Adobe-Japan1; CID+9558
4E38 E0100; Adobe-Japan1; CID+9559
4E39 E0100; Adobe-Japan1; CID+9561
4E39 E0101; Adobe-Japan1; CID+62105
4E3B E0100; Adobe-Japan1; CID+9563
4E3B E0101; Adobe-Japan1; CID+62106
4E3C E0100; Adobe-Japan1; CID+9564
4E3F E0100; Adobe-Japan1; CID+9568
4E40 E0100; Adobe-Japan1; CID+9569
4E41 E0100; Adobe-Japan1; CID+9570
4E42 E0100; Adobe-Japan1; CID+9571
4E43 E0100; Adobe-Japan1; CID+9572
4E44 E0100; Adobe-Japan1; CID+9574
4E45 E0100; Adobe-Japan1; CID+9575
4E47 E0100; Adobe-Japan1; CID+9577
4E48 E0100; Adobe-Japan1; CID+9579
4E4B E0100; Adobe-Japan1; CID+9583
4E4D E0100; Adobe-Japan1; CID+9586
4E4E E0100; Adobe-Japan1; CID+9587
4E4F E0100; Adobe-Japan1; CID+9588
4E51 E0100; Adobe-Japan1; CID+9591
4E55 E0100; Adobe-Japan1; CID+9595
4E56 E0100; Adobe-Japan1; CID+9596
4E57 E0100; Adobe-Japan1; CID+9599
4E58 E0100; Adobe-Japan1; CID+9600
4E59 E0100; Adobe-Japan1; CID+9602
4E5A E0100; Adobe-Japan1; CID+9603
4E5C E0100; Adobe-Japan1; CID+9605
4E5D E0100; Adobe-Japan1; CID+9607
4E5E E0100; Adobe-Japan1; CID+9608
4E5F E0100; Adobe-Japan1; CID+9609
4E62 E0100; Adobe-Japan1; CID+9613
4E63 E0100; Adobe-Japan1; CID+9614
4E68 E0100; Adobe-Japan1; CID+9620
4E69 E0100; Adobe-Japan1; CID+9622
4E71 E0100; Adobe-Japan1; CID+9631
4E73 E0100; Adobe-Japan1; CID+9633
4E73 E0101; Adobe-Japan1; CID+62107
4E74 E0100; Adobe-Japan1; CID+9635
4E75 E0100; Adobe-Japan1; CID+9636
4E79 E0100; Adobe-Japan1; CID+9643
4E7E E0100; Adobe-Japan1; CID+9648
4E7F E0100; Adobe-Japan1; CID+9649
4E80 E0100; Adobe-Japan1; CID+9652
4E82 E0100; Adobe-Japan1; CID+9654
4E85 E0100; Adobe-Japan1; CID+9660
4E86 E0100; Adobe-Japan1; CID+9661
4E88 E0100; Adobe-Japan1; CID+9665
4E89 E0100; Adobe-Japan1; CID+9666
4E8A E0100; Adobe-Japan1; CID+9668
4E8B E0100; Adobe-Japan1; CID+9669
4E8C E0100; Adobe-Japan1; CID+9670
4E8D E0100; Adobe-Japan1; CID+9671
4E8E E0100; Adobe-Japan1; CID+9672
4E91 E0100; Adobe-Japan1; CID+9676
4E92 E0100; Adobe-Japan1; CID+9678
4E94 E0100; Adobe-Japan1; CID+9681
4E95 E0100; Adobe-Japan1; CID+9683
4E96 E0100; Adobe-Japan1; CID+9684
4E97 E0100; Adobe-Japan1; CID+9685
4E98 E0100; Adobe-Japan1; CID+9686
4E99 E0100; Adobe-Japan1; CID+9687
4E9B E0100; Adobe-Japan1; CID+9690
4E9C E0100; Adobe-Japan1; CID+9692
4E9D E0100; Adobe-Japan1; CID+9693
4E9E E0100; Adobe-Japan1; CID+9695
4E9F E0100; Adobe-Japan1; CID+9697
4EA0 E0100; Adobe-Japan1; CID+9700
4EA1 E0100; Adobe-Japan1; CID+9702
4EA1 E0101; Adobe-Japan1; CID+62108
4EA2 E0100; Adobe-Japan1; CID+9705
4EA4 E0100; Adobe-Japan1; CID+9708
4EA4 E0101; Adobe-Japan1; CID+62109
4EA5 E0100; Adobe-Japan1; CID+9710
4EA6 E0100; Adobe-Japan1; CID+9712
4EA8 E0100; Adobe-Japan1; CID+9716
4EAB E0100; Adobe-Japan1; CID+9720
4EAC E0100; Adobe-Japan1; CID+9722
4EAD E0100; Adobe-Japan1; CID+9724
4EAE E0100; Adobe-Japan1; CID+9726
4EAF E0100; Adobe-Japan1; CID+9729
4EB0 E0100; Adobe-Japan1; CID+9731
4EB3 E0100; Adobe-Japan1; CID+9736
4EB6 E0100; Adobe-Japan1; CID+9742
4EB9 E0100; Adobe-Japan1; CID+9746
4EBA E0100; Adobe-Japan1; CID+9749
4EBB E0100; Adobe-Japan1; CID+9751
4EBC E0100; Adobe-Japan1; CID+9752
4EC0 E0100; Adobe-Japan1; CID+9757
4EC1 E0100; Adobe-Japan1; CID+9758
4EC2 E0100; Adobe-Japan1; CID+9759
4EC3 E0100; Adobe-Japan1; CID+9760
4EC4 E0100; Adobe-Japan1; CID+9761
4EC6 E0100; Adobe-Japan1; CID+9764
4EC7 E0100; Adobe-Japan1; CID+9766
4EC8 E0100; Adobe-Japan1; CID+9767
4ECA E0100; Adobe-Japan1; CID+9771
4ECA E0101; Adobe-Japan1; CID+61687
4ECB E0100; Adobe-Japan1; CID+9774
4ECD E0100; Adobe-Japan1; CID+9777
4ECE E0100; Adobe-Japan1; CID+9779
4ECF E0100; Adobe-Japan1; CID+9781
4ED0 E0100; Adobe-Japan1; CID+9783
4ED4 E0100; Adobe-Japan1; CID+9787
4ED5 E0100; Adobe-Japan1; CID+9789
4ED6 E0100; Adobe-Japan1; CID+9790
4ED7 E0100; Adobe-Japan1; CID+9792
4ED8 E0100; Adobe-Japan1; CID+9793
4ED9 E0100; Adobe-Japan1; CID+9794
4EDA E0100; Adobe-Japan1; CID+9796
4EDB E0100; Adobe-Japan1; CID+9798
4EDD E0100; Adobe-Japan1; CID+9800
4EDE E0100; Adobe-Japan1; CID+9802
4EDF E0100; Adobe-Japan1; CID+9804
4EE0 E0100; Adobe-Japan1; CID+9805
4EE1 E0100; Adobe-Japan1; CID+9806
4EE2 E0100; Adobe-Japan1; CID+9807
4EE3 E0100; Adobe-Japan1; CID+9808
4EE4 E0100; Adobe-Japan1; CID+9809
4EE5 E0100; Adobe-Japan1; CID+9812
4EE8 E0100; Adobe-Japan1; CID+9816
4EEB E0100; Adobe-Japan1; CID+9819
4EED E0100; Adobe-Japan1; CID+9822
4EEE E0100; Adobe-Japan1; CID+9823
4EEF E0100; Adobe-Japan1; CID+9825
4EF0 E0100; Adobe-Japan1; CID+9827
4EF1 E0100; Adobe-Japan1; CID+9829
4EF2 E0100; Adobe-Japan1; CID+9832
4EF3 E0100; Adobe-Japan1; CID+9833
4EF5 E0100; Adobe-Japan1; CID+9837
4EF6 E0100; Adobe-Japan1; CID+9838
4EF7 E0100; Adobe-Japan1; CID+9839
4EFB E0100; Adobe-Japan1; CID+9844
4EFC E0100; Adobe-Japan1; CID+9846
4EFD E0100; Adobe-Japan1; CID+9847
4EFE E0100; Adobe-Japan1; CID+9850
4EFF E0100; Adobe-Japan1; CID+9851
4F00 E0100; Adobe-Japan1; CID+9853
4F01 E0100; Adobe-Japan1; CID+9856
4F02 E0100; Adobe-Japan1; CID+9858
4F03 E0100; Adobe-Japan1; CID+9859
4F08 E0100; Adobe-Japan1; CID+9864
4F09 E0100; Adobe-Japan1; CID+9865
4F0A E0100; Adobe-Japan1; CID+9867
4F0B E0100; Adobe-Japan1; CID+9868
4F0C E0100; Adobe-Japan1; CID+9870
4F0D E0100; Adobe-Japan1; CID+9871
4F0E E0100; Adobe-Japan1; CID+9873
4F0F E0100; Adobe-Japan1; CID+9875
4F10 E0100; Adobe-Japan1; CID+9876
4F11 E0100; Adobe-Japan1; CID+9877
4F12 E0100; Adobe-Japan1; CID+9878
4F15 E0100; Adobe-Japan1; CID+9882
4F16 E0100; Adobe-Japan1; CID+9883
4F17 E0100; Adobe-Japan1; CID+9884
4F19 E0100; Adobe-Japan1; CID+9887
4F1A E0100; Adobe-Japan1; CID+9890
4F1C E0100; Adobe-Japan1; CID+9893
4F1D E0100; Adobe-Japan1; CID+9894
4F2B E0100; Adobe-Japan1; CID+9911
4F2E E0100; Adobe-Japan1; CID+9916
4F2F E0100; Adobe-Japan1; CID+9917
4F30 E0100; Adobe-Japan1; CID+9918
4F31 E0100; Adobe-Japan1; CID+9919
4F33 E0100; Adobe-Japan1; CID+9921
4F34 E0100; Adobe-Japan1; CID+9923
4F34 E0101; Adobe-Japan1; CID+62110
4F35 E0100; Adobe-Japan1; CID+9924
4F36 E0100; Adobe-Japan1; CID+9925
4F37 E0100; Adobe-Japan1; CID+9928
4F38 E0100; Adobe-Japan1; CID+9929
4F39 E0100; Adobe-Japan1; CID+9930
4F3A E0100; Adobe-Japan1; CID+9931
4F3B E0100; Adobe-Japan1; CID+9932
4F3C E0100; Adobe-Japan1; CID+9934
4F3D E0100; Adobe-Japan1; CID+9936
4F3E E0100; Adobe-Japan1; CID+9937
4F40 E0100; Adobe-Japan1; CID+9940
4F42 E0100; Adobe-Japan1; CID+9942
4F43 E0100; Adobe-Japan1; CID+9943
4F46 E0100; Adobe-Japan1; CID+9946
4F47 E0100; Adobe-Japan1; CID+9947
4F48 E0100; Adobe-Japan1; CID+9949
4F49 E0100; Adobe-Japan1; CID+9950
4F4B E0100; Adobe-Japan1; CID+9953
4F4C E0100; Adobe-Japan1; CID+9954
4F4D E0100; Adobe-Japan1; CID+9956
4F4E E0100; Adobe-Japan1; CID+9958
4F4F E0100; Adobe-Japan1; CID+9961
4F4F E0101; Adobe-Japan1; CID+62111
4F50 E0100; Adobe-Japan1; CID+9963
4F51 E0100; Adobe-Japan1; CID+9964
4F52 E0100; Adobe-Japan1; CID+9965
4F53 E0100; Adobe-Japan1; CID+9967
4F54 E0100; Adobe-Japan1; CID+9968
4F55 E0100; Adobe-Japan1; CID+9969
4F56 E0100; Adobe-Japan1; CID+9970
4F57 E0100; Adobe-Japan1; CID+9971
4F58 E0100; Adobe-Japan1; CID+9973
4F59 E0100; Adobe-Japan1; CID+9976
4F5A E0100; Adobe-Japan1; CID+9978
4F5B E0100; Adobe-Japan1; CID+9979
4F5C E0100; Adobe-Japan1; CID+9981
4F5D E0100; Adobe-Japan1; CID+9982
4F5E E0100; Adobe-Japan1; CID+9983
4F5F E0100; Adobe-Japan1; CID+9986
4F60 E0100; Adobe-Japan1; CID+9988
4F60 E0101; Adobe-Japan1; CID+61838
4F63 E0100; Adobe-Japan1; CID+9992
4F64 E0100; Adobe-Japan1; CID+9994
4F69 E0100; Adobe-Japan1; CID+10001
4F6A E0100; Adobe-Japan1; CID+10002
4F6C E0100; Adobe-Japan1; CID+10004
4F6E E0100; Adobe-Japan1; CID+10007
4F6F E0100; Adobe-Japan1; CID+10009
4F70 E0100; Adobe-Japan1; CID+10011
4F71 E0100; Adobe-Japan1; CID+10012
4F73 E0100; Adobe-Japan1; CID+10015
4F73 E0101; Adobe-Japan1; CID+62112
4F75 E0100; Adobe-Japan1; CID+10018
4F75 E0101; Adobe-Japan1; CID+62113
4F76 E0100; Adobe-Japan1; CID+10019
4F77 E0100; Adobe-Japan1; CID+10020
4F78 E0100; Adobe-Japan1; CID+10022
4F79 E0100; Adobe-Japan1; CID+10023
4F7A E0100; Adobe-Japan1; CID+10024
4F7B E0100; Adobe-Japan1; CID+10027
4F7C E0100; Adobe-Japan1; CID+10028
4F7D E0100; Adobe-Japan1; CID+10030
4F7E E0100; Adobe-Japan1; CID+10033
4F7F E0100; Adobe-Japan1; CID+10036
4F7F E0101; Adobe-Japan1; CID+62114
4F81 E0100; Adobe-Japan1; CID+10038
4F82 E0100; Adobe-Japan1; CID+10039
4F83 E0100; Adobe-Japan1; CID+10042
4F84 E0100; Adobe-Japan1; CID+10044
4F85 E0100; Adobe-Japan1; CID+10046
4F86 E0100; Adobe-Japan1; CID+10048
4F88 E0100; Adobe-Japan1; CID+10050
4F89 E0100; Adobe-Japan1; CID+10052
4F8A E0100; Adobe-Japan1; CID+10054
4F8B E0100; Adobe-Japan1; CID+10055
4F8C E0100; Adobe-Japan1; CID+10057
4F8D E0100; Adobe-Japan1; CID+10059
4F8E E0100; Adobe-Japan1; CID+10061
4F8F E0100; Adobe-Japan1; CID+10062
4F90 E0100; Adobe-Japan1; CID+10063
4F91 E0100; Adobe-Japan1; CID+10064
4F92 E0100; Adobe-Japan1; CID+10066
4F93 E0100; Adobe-Japan1; CID+10069
4F94 E0100; Adobe-Japan1; CID+10070
4F96 E0100; Adobe-Japan1; CID+10073
4F97 E0100; Adobe-Japan1; CID+10075
4F98 E0100; Adobe-Japan1; CID+10076
4F99 E0100; Adobe-Japan1; CID+10079
4F9A E0100; Adobe-Japan1; CID+10080
4F9B E0100; Adobe-Japan1; CID+10081
4F9D E0100; Adobe-Japan1; CID+10084
4F9E E0100; Adobe-Japan1; CID+10086
4F9F E0100; Adobe-Japan1; CID+10089
4FA0 E0100; Adobe-Japan1; CID+10091
4FA1 E0100; Adobe-Japan1; CID+10092
4FAB E0100; Adobe-Japan1; CID+10102
4FAD E0100; Adobe-Japan1; CID+10106
4FAE E0100; Adobe-Japan1; CID+10107
4FAE E0101; Adobe-Japan1; CID+58953
4FAF E0100; Adobe-Japan1; CID+10109
4FB2 E0100; Adobe-Japan1; CID+10114
4FB5 E0100; Adobe-Japan1; CID+10120
4FB5 E0101; Adobe-Japan1; CID+62115
4FB6 E0100; Adobe-Japan1; CID+10122
4FB7 E0100; Adobe-Japan1; CID+10123
4FB9 E0100; Adobe-Japan1; CID+10125
4FBB E0100; Adobe-Japan1; CID+10130
4FBC E0100; Adobe-Japan1; CID+10133
4FBD E0100; Adobe-Japan1; CID+10135
4FBE E0100; Adobe-Japan1; CID+10136
4FBF E0100; Adobe-Japan1; CID+10137
4FBF E0101; Adobe-Japan1; CID+62116
4FC0 E0100; Adobe-Japan1; CID+10138
4FC1 E0100; Adobe-Japan1; CID+10141
4FC2 E0100; Adobe-Japan1; CID+10144
4FC3 E0100; Adobe-Japan1; CID+10147
4FC4 E0100; Adobe-Japan1; CID+10148
4FC5 E0100; Adobe-Japan1; CID+10149
4FC6 E0100; Adobe-Japan1; CID+10151
4FC8 E0100; Adobe-Japan1; CID+10154
4FC9 E0100; Adobe-Japan1; CID+10157
4FCA E0100; Adobe-Japan1; CID+10158
4FCB E0100; Adobe-Japan1; CID+10162
4FCC E0100; Adobe-Japan1; CID+10163
4FCD E0100; Adobe-Japan1; CID+10164
4FCE E0100; Adobe-Japan1; CID+10166
4FCF E0100; Adobe-Japan1; CID+10167
4FD0 E0100; Adobe-Japan1; CID+10170
4FD1 E0100; Adobe-Japan1; CID+10171
4FD2 E0100; Adobe-Japan1; CID+10172
4FD3 E0100; Adobe-Japan1; CID+10174
4FD4 E0100; Adobe-Japan1; CID+10175
4FD7 E0100; Adobe-Japan1; CID+10178
4FD8 E0100; Adobe-Japan1; CID+10180
4FDA E0100; Adobe-Japan1; CID+10183
4FDB E0100; Adobe-Japan1; CID+10184
4FDC E0100; Adobe-Japan1; CID+10185
4FDD E0100; Adobe-Japan1; CID+10187
4FDF E0100; Adobe-Japan1; CID+10192
4FE0 E0100; Adobe-Japan1; CID+10195
4FE1 E0100; Adobe-Japan1; CID+10196
4FE2 E0100; Adobe-Japan1; CID+10198
4FE3 E0100; Adobe-Japan1; CID+10199
4FE4 E0100; Adobe-Japan1; CID+10200
4FE5 E0100; Adobe-Japan1; CID+10202
4FE6 E0100; Adobe-Japan1; CID+10203
4FEE E0100; Adobe-Japan1; CID+10212
4FEF E0100; Adobe-Japan1; CID+10214
4FF0 E0100; Adobe-Japan1; CID+10216
4FF1 E0100; Adobe-Japan1; CID+10217
4FF2 E0100; Adobe-Japan1; CID+10218
4FF3 E0100; Adobe-Japan1; CID+10220
4FF5 E0100; Adobe-Japan1; CID+10223
4FF6 E0100; Adobe-Japan1; CID+10225
4FF8 E0100; Adobe-Japan1; CID+10227
4FFA E0100; Adobe-Japan1; CID+10230
4FFC E0100; Adobe-Japan1; CID+10234
4FFD E0100; Adobe-Japan1; CID+10236
4FFE E0100; Adobe-Japan1; CID+10238
4FFF E0100; Adobe-Japan1; CID+10239
5000 E0100; Adobe-Japan1; CID+10241
5001 E0100; Adobe-Japan1; CID+10243
5002 E0100; Adobe-Japan1; CID+10244
